text,sentiment
SpiceJet to issue 6.4 crore warrants to promoters,Hold
MMTC Q2 net loss at Rs 10.4 crore,Hold
"Mid-cap funds can deliver more, stay put: Experts",Buy
Mid caps now turn into market darlings,Buy
"Market seeing patience, if not conviction: Prakash Diwan",Hold
Infosys: Will the strong volume growth sustain?,Hold
Hudco raises Rs 279 cr via tax-free bonds,Buy
HOEC could retest 30-35 levels: Ashwani Gujral,Hold
Gold shines on seasonal demand; Silver dull,Buy
Genpact appoints Edward J Fitzpatrick as CFO,Hold
"EXL beats profit estimates, cuts sales outlook",Buy
Wait and watch on Bharti Airtel: Vinay Khattar,Hold
"Would stick to banking: Girish Pai, Centrum Broking",Buy
MSCI adds Aurobindo Pharma to India index,Buy
Ashok Leyland raises Rs 667 crore through QIP,Buy
"At Wipro, growth remains a mirage",Sell
Why Chinese stocks leave US investors vulnerable,Sell
US stocks finish mixed amid more tech selling,Sell
Opec reduces estimate on oil demand growth,Sell
Oil prices mixed ahead of US supply report,Hold
Makemytrip expands share sale plan,Hold
Gur closes quiet on some support,Hold
Gur closes steady on low demand,Hold
Gur closes steady on thin trade,Hold
Gur remains flat in tight movements,Hold
Popularising G-Secs among retail investors,Hold
Gold trades nearly flat on dull demand,Hold
ZEE announces closure of share buyback programme,Hold
ZEE Q2 net at Rs 216.3 cr,Hold
China to start yuan trading on Tuesday,Hold
BSE inks strategic partnership with YES Bank,Hold
Yes Bank launches Sovereign Gold Bond,Hold
"Yen firms in Asia on Iraq, Ukraine jitters",Buy
Billionaire's stake shakes Woolworth's buyout of David Jones,Hold
Wonderla Holidays IPO subscribed 42% on Day 1,Hold
Wonderla Holidays IPO subscribed 98% on second day,Hold
WNS appoints Ronald Gillette as Chief Operating Officer,Hold
Strong deals crucial for Wipro's growth push,Hold
Ten key takeaways from Wipro Q1 results,Hold
Whirlpool may head to around 450-475: Devang Visaria,Hold
Western Coalfields CMD D C Garg passes away,Hold
VRL Logistics IPO grey market premium at 38%,Hold
"IPO after tax row is settled, says Vodafone",Hold
Vodafone gets ready for IPO of Indian arm,Hold
VMware appoints Arun Parameswaran as India MD,Hold
Videocon D2H likely to bring IPO this fiscal,Hold
Videocon appoints Sanjeev Bakshi as COO,Hold
Viber ups marketing efforts with CMO appointment,Hold
Verizon appoints Christopher Formant to head enterprise business,Hold
"Amidst commodity boom, vanilla remains plain vanilla",Hold
Universal Commodity Exchange goes live,Hold
United Spirits appoints Anand Kripalu as CEO,Hold
Promoters raise stake to 46.72 pc in Unitech,Hold
Uninor appoints Grameenphone CTO as new India COO,Hold
TV Today Q2 profit at Rs 12.83 crore,Hold
Tokyo stocks flat by the break,Hold
Adi Rajaram appointed TNIIC chairman,Hold
4200 is key level for Titan: Ashwani Gujral,Hold
Kapil Kapoor is global COO of Timex Group,Hold
TIL Limited can open-up for Rs 900-1200: Ventura,Hold
Thyrocare Technologies Limited files draft IPO papers,Hold
Thejo Engineering announces 1:1 maiden bonus,Hold
Neutral on telecom: Ramanathan K,Hold
Technofab Engg fix IPO rate at Rs 230-240,Hold
Tata Sons names Gopichand Katragadda chief technology officer,Hold
Tata Motors appoints Gajendra Chandel as CHRO,Hold
Kalyanasundaram resigns as Independent Director of Tata Communications,Hold
Talwalkars can retest 133-140 levels: Ashwani Gujral,Hold
Suzlon board approves cashless restructuring of FCCBs,Hold
Sunteck Realty: Building a solid foundation,Hold
Harsha Viji is deputy MD of Sundaram MF,Hold
Sugar closes steady on sporadic buying,Hold
Sugar ends steady in thin trade,Hold
Sugar settles steady on little doing,Hold
Sugar ends quiet amid sufficient stock positions,Hold
India produces 14.3 million tonne sugar till mid-February,Hold
Sterling steadies after Scottish referendum debate wobble,Hold
UK data gives battered sterling some respite,Hold
Red-hot sterling cools a touch after PMI numbers,Hold
Steel prices end steady in thin trade,Hold
Tight movement in steel prices in thin trade,Hold
Spices hold steady in mute trade,Hold
SpiceJet makes top-level changes,Hold
Spicejet seeks shareholders' nod to hike promoters holding,Hold
Several small caps trading at eye-popping valuations,Hold
Sistema on way to market,Hold
Shoppers Stop elevates Salil Nair to CEO,Hold
Neutral on Shiva Cement: Seshadri Bharathan,Hold
How will Shell-BG deal impact global energy market,Hold
SGX's India office to woo fund raising corporations,Hold
Prasun Kumar Mukherjee quits Sesa Sterlite,Hold
Which Sensex stocks should you bet on?,Hold
Sensex rangebound; top 20 intraday trading ideas,Hold
SEC director with big stock holdings stirs debate,Hold
Sebi partially lifts curbs on Shantivijay Jewels,Hold
Sebi seeks clarification on RINL IPO,Hold
"Sebi attaches accounts of former Ranbaxy director, wife",Hold
Maruti-Suzuki deal: Institutional investors approach Sebi,Hold
Sebi notifies new ESOP regulations,Hold
Sebi revamps securitisation trustee norms,Hold
Centralised online system for investor grievances:SEBI,Hold
Sebi cautions against illicit high-return schemes,Hold
Sebi proposes restrictions on 'wilful defaulters',Hold
"New listing, de-listing regulations next month: Sebi",Hold
Sebi announces new set of ESOP regulations,Hold
Sebi considers proposal on cross-currency futures pairs,Hold
Sebi plans new norms for municipal bonds,Hold
"Sebi revamps committee on disclosures, accounting standards",Hold
Sebis reading of control issue confounds experts,Hold
20 companies approach Sebi with public offer proposals,Hold
Cabinet to consider proposal for Sebi ordinance tomorrow,Hold
"Insider trading on SEBI Chief, UK Sinha's radar",Hold
Minimum shareholding norm not for non-controlling entity: Sebi,Hold
President Pranab Mukherjee clears re-promulgation of Sebi ordinance,Hold
Sebi asks mutual funds to adopt high-deposit districts,Hold
Sebi calls for systemic safeguards in Algo trades,Hold
Sebi directs banks to defreeze accounts of Somanis,Hold
Sebi grants new status to three clearing corporations,Hold
Sebi initiates proceeding against entities in ponzi schemes,Hold
Sebi may seek relief for commodity exchange warehouses,Hold
Sebi mulls prudential governance norms for stock brokers,Hold
Sebi orders defreezing of accounts of five entities,Hold
Sebi plans annual information memorandum for listed companies,Hold
Sebi proposes stricter rules for securitisation deal trustees,Hold
Sebi to conitnue with more than 300 proceedings,Hold
Sebi to study surveillance systems in overseas markets,Hold
"Sebi, exchanges to tighten grip on speculative stocks",Hold
Sebi's public offer norms bat for retail investors,Hold
Sebi's toll-free service for investors open whole week,Hold
Single Demat A/c for all financial investments: SEBI,Hold
SCI ex-chairman S Hajara joins Doehle Danautic India,Hold
2270-2350 is the range for SBI: Sandeep Wagle,Hold
Cover up all positions for SBI: Mitesh Thacker,Hold
"Saudi market opens, may affect global fund flows",Hold
Sanghvi Forging and Engineering Ltd IPO opens tomorrow,Hold
Samsung Everland IPO seen spurring Samsung Group restructure,Hold
Samsung Electronic India enterprise business head quits,Hold
Samsonite International appoints Ramesh Tainwala as global COO,Hold
Soiles Bhattacharya takes interim charge of SAIL,Hold
"SAIL sets rs. 7,000-crore FPO process in motion",Hold
Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,Hold
Budget 2014 mustn't sell rupee short,Hold
Cabinet decides on rupee sign today,Hold
Rupee little changed in intraday trade,Hold
Rupee ends little changed; fund flows in focus,Hold
Rupee swings hand arbitrage advantage to day traders,Hold
"Output not stretched, says Rubber Board",Hold
RP-Sanjiv Goenka Group to begin new CSR initiatives,Hold
Ravi Venkatesan joins Rockefeller Foundation Board,Hold
AGM can open new chapter for RIL shareholders,Hold
Should you opt for richly valued stocks?,Hold
Rs 15.26 crore dividend cheque from REPCO Bank,Hold
Wilmar deal: Not much for Renuka investors,Hold
Religare Securities launches virtual stock trading platform,Hold
Sandip Bansal joins Religare Capital Markets,Hold
Religare's top four picks for 2014,Hold
Reliance Industries announces 10-year US dollar bond,Hold
Reed Exhibitions looks to expand in India,Hold
Reckitt Benckiser names Nitish Kapoor as India MD,Hold
"Which is better, real estate or stocks?",Hold
"RBI, bourses weigh dollar delivery in futures trade",Hold
RBI Deputy Governor Anand Sinha retires,Hold
Cash rates stabilise after RBI's MSF auction,Hold
RBI moves to curb novel bond structure,Hold
What to expect from RBI policy tomorrow,Hold
RBI bets on 'shut period' to improve liquidity,Hold
RBI tightens provisioning norms for unhedged forex exposure,Hold
Raw material bull market fades as supply expands,Hold
Ranbaxy for short term: Deepak Mohoni,Hold
Upside capped at 90 for Ramsarup: Siddth Capital,Hold
Rallis India to launch branded pomegranates,Hold
Stay with quality stocks: Deven Choksey,Hold
Puravankara Projects gives 70% dividend to non-promoters,Hold
Pulses futures remain steady in thin trade,Hold
Pulses remain flat in thin trade,Hold
Pulses remain steady in thin trade,Hold
Pulses prices end steady in tight movements,Hold
Prices of pulses remain steady in thin trade,Hold
PTC India appoints Deepak Amitabh as CMD,Hold
"Finally, PSU-ETF launched; subscription from next week",Hold
PSU bonds match equity returns in fourth quarter,Hold
Principal MF appoints PVK Mohan as Head-Equity,Hold
PricewaterhouseCoopers to conduct special audit of MCX,Hold
"Neutral on power sector: Pankaj Pandey, ICICI Direct",Hold
Overseas funds plug into power gear makers,Hold
Participate in power through other sectors: Vijai Mantri,Hold
PNB: Asset quality improves but payout cut disturbing,Hold
Long-term investors may go for PMC Infratechs IPO,Hold
Sameer Garde appointed Philips Healthcare South Asia President,Hold
Things that influence pharmaceutical sector growth story,Hold
Seven rules for investing in penny stocks,Hold
Pegasystems Inc acquires MeshLabs Software,Hold
Parabolic Drugs IPO opens on June 14,Hold
OnMobile appoints Sanjay Bhambri as Regional VP,Hold
Sudhir Vasudeva to head ONGC,Hold
Britain FTSE regains traction as oil steadies,Hold
Experts' call on oil marketing companies,Hold
Oil ends steady in thin trade,Hold
Oil prices mixed in Asian trade,Hold
Oil takes breather in Asian trade,Hold
Oil prices turn mixed in Asian trade,Hold
Put OI concentration at 6000 shows support,Hold
OBC may go for FPO post-capital infusion,Hold
NTPC files for FPO,Hold
NSEL appoints five new independent directors,Hold
NSE sees senior level changes,Hold
NSE operationalises SME platform with first listing,Hold
"Options suggest range of 8,000-8,300 for NSE",Hold
NSE directs brokers to implement risk reduction mode,Hold
NSE to begin overnight investment facility from Monday,Hold
"Nomura sees Sensex at 33,500 by year-end",Hold
"Nothing alarming about Nifty level: Deepak Mohoni, trendwatchindia.com",Hold
Nifty likely to trade in 7500-7700 range,Hold
Nifty will revisit 7930-7940 levels: Mitesh Thacker,Hold
Today's Bet: 5100-5300 level crucial for Nifty,Hold
5450-5500 is possible on Nifty: Aptart Technical Services,Hold
"Immediate target for Nifty at 7,935-7,940: Mitesh Thacker",Hold
Nifty may retest levels of 8000: Mitesh Thacker,Hold
Nifty might consolidate between 8950-8980 levels: Mitesh Thacker,Hold
Nifty to find next support at 5950 level,Hold
"Nifty50 to find support at 7,950-7,930: Mitesh Thacker",Hold
Pre-market: Nifty seen opening flat; Economic Survey eyed,Hold
