title,content,url,timestamp,source
Scoring great Black Friday deals is getting harder. These 6 tips can help you shop smarter this weekend.,Deals aren’t as enticing this Black Friday compared with years past — but it’s still possible to find bargains if you know where to look.,https://www.marketwatch.com/story/scoring-great-black-friday-deals-is-getting-harder-these-6-tips-can-help-you-shop-smarter-this-weekend-ae2a5d2a?mod=mw_rss_topstories,2025-11-27T00:18:00,MarketWatch
My sons will each inherit $500K laundromats from their grandparents. How do we keep their spouses out of it?,“The businesses each have two employees who manage the day-to-day operations.”,https://www.marketwatch.com/story/my-sons-will-each-inherit-500k-laundromats-from-their-grandparents-how-do-we-keep-their-spouses-out-of-it-6dd520d2?mod=mw_rss_topstories,2025-11-26T23:35:00,MarketWatch
"After years of rising drug prices, more discounts are here — at least for Medicare",Price are falling sharply for Medicare beneficiaries prescribed Novo Nordisk’s GLP-1 drugs like Ozempic in 2027.,https://www.marketwatch.com/story/after-years-of-rising-drug-prices-more-discounts-are-here-at-least-for-medicare-b6a013ed?mod=mw_rss_topstories,2025-11-26T23:35:00,MarketWatch
Beware of this Black Friday scam,"“I received an email from eBay, or at least it looked like it was from an official eBay address.”",https://www.marketwatch.com/story/is-it-a-black-friday-scam-ebay-said-id-set-up-an-account-there-was-only-one-problem-i-hadnt-b4b8c169?mod=mw_rss_topstories,2025-11-26T23:31:00,MarketWatch
My college-age kids inherited $300K from a 401(k). What should they do with this money?,“This money is likely to be saved for the purchase of homes in 10 years or so.”,https://www.marketwatch.com/story/my-college-age-kids-inherited-300k-from-a-401-k-what-should-they-do-with-this-money-46302656?mod=mw_rss_topstories,2025-11-26T23:30:00,MarketWatch
Alphabet gets closer to $4 trillion as Morgan Stanley puts a big number around its chip potential,"Alphabet could be selling 1 million AI chips by 2027, analysts say.",https://www.marketwatch.com/story/alphabet-gets-closer-to-4-trillion-as-morgan-stanley-puts-a-big-number-around-its-chip-potential-8a0fa5cb?mod=mw_rss_topstories,2025-11-26T22:58:00,MarketWatch
‘Stranger Things’ has made at least $1 billion for Netflix already. Now Season 5 could deliver another $200 million.,"At least that’s what one expert says, but the bigger question is whether the hit show could become a ‘Star Wars’-type franchise worth billions more",https://www.marketwatch.com/story/stranger-things-has-made-at-least-1-billion-for-netflix-already-now-season-5-could-deliver-another-200-million-b8827337?mod=mw_rss_topstories,2025-11-26T21:52:00,MarketWatch
Stocks stage powerful comeback ahead of Thanksgiving. It wasn’t enough to erase November’s losses.,"U.S. stocks rallied for a fourth straight day on Wednesday, having clawed back all of last week’s losses ahead of the Thanksgiving holiday.",https://www.marketwatch.com/story/stocks-stage-powerful-comeback-ahead-of-thanksgiving-it-wasnt-enough-to-erase-novembers-losses-32106e03?mod=mw_rss_topstories,2025-11-26T21:29:00,MarketWatch
"This Thanksgiving, worry more about AI taking your job — and less about throwing money away on Black Friday","This Thanksgiving, give thanks if you still have a job.",https://www.marketwatch.com/story/this-thanksgiving-worry-more-about-ai-taking-your-job-and-less-about-throwing-money-away-on-black-friday-33ae7022?mod=mw_rss_topstories,2025-11-26T21:08:00,MarketWatch
Is Black Friday the best time to shop for a cruise? Here’s what experts have to say.,There are sales aplenty —and some extend through Cyber Monday and beyond.,https://www.marketwatch.com/story/this-years-black-friday-cruise-deals-can-save-you-hundreds-of-dollars-six-tips-for-shopping-the-sales-c48c593b?mod=mw_rss_topstories,2025-11-26T19:38:00,MarketWatch
